,Zone26_Pressure__number_cwt_peaks__n_5,Zone4_Pressure__quantile__q_0.8,Zone7_Pressure__quantile__q_0.8,Zone31_Pressure__kurtosis,"Zone9_Pressure__fft_coefficient__coeff_31__attr_""imag""",Zone15_Pressure__kurtosis,Zone15_Pressure__quantile__q_0.7,Zone23_Pressure__skewness,"Zone17_Pressure__fft_coefficient__coeff_83__attr_""abs""","Zone9_Pressure__fft_coefficient__coeff_59__attr_""abs""",Zone10_Pressure__time_reversal_asymmetry_statistic__lag_1,Zone6_Pressure__number_peaks__n_5,"Zone6_Pressure__fft_aggregated__aggtype_""skew""","Zone14_Pressure__agg_linear_trend__f_agg_""mean""__chunk_len_50__attr_""stderr""","Zone10_Pressure__fft_coefficient__coeff_88__attr_""abs""","Zone31_Pressure__fft_coefficient__coeff_39__attr_""imag""",Zone24_Pressure__skewness,Zone17_Pressure__time_reversal_asymmetry_statistic__lag_1,"Zone31_Pressure__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","Zone2_Pressure__augmented_dickey_fuller__attr_""teststat""","Zone31_Pressure__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","Zone9_Pressure__fft_coefficient__coeff_30__attr_""imag""",target
87,20.0,88545.2,36464.9,0.787898607308847,169921.81671700755,0.8423513550620201,33503.65,1.2030268246845248,166137.5291352929,125124.25770039506,328732486798.03143,2.0,2.3871491318142604,910.308300011956,178741.095524327,284399.1179367531,2.2211642028392795,657106190251.1244,219965.09387443512,-0.8947027949498217,123.39207202216066,172802.6079666788,1
88,22.0,76172.80000000003,27865.32000000001,1.578550833457108,94546.279998984,-0.4783669299706399,28113.43,1.0788506546889474,62940.098997594425,142679.07623909734,124702023707.86176,4.0,2.2956370185021777,1065.1894612640306,71497.30132692862,-54985.86966511377,2.545038958113024,112824982934.6764,99740.42485531274,-1.0389849267596705,55.63170319001386,245689.07354088462,1
89,26.0,86841.8,24698.6,0.2596507961553476,110247.05757490986,-0.6756442799405415,18570.2,0.9722060431188391,86253.69309190905,75426.58619819669,45097025976.185135,9.0,2.453159068206494,979.830310101142,99215.02112019056,88753.81507485597,2.8792015501924726,248302843988.8092,59014.75304996068,-0.9072195865410976,53.5203259052925,89230.19026425027,1
90,21.0,80794.70000000003,22927.22,0.13588731334081938,172616.36464522188,-0.0598987128812194,25333.89999999999,1.0020716068371132,114054.80082344596,89379.57538832529,111699406785.64172,3.0,2.614455272527019,1013.063339655174,40059.60560791388,299230.3825795292,1.9148550954496943,361145666103.31024,32459.392011059,-0.04827885362964224,70.88633748271093,186620.13551511944,1
91,24.0,88762.42,19458.46000000004,0.3136380948395772,118500.52686009274,-0.40915274320681183,21559.639999999992,0.8617609626717561,80961.14321575798,171371.5838583808,151182690175.4694,3.0,2.25073784191168,1089.4675550104669,103110.36784020276,77261.9719849065,2.4966044933197598,129410342993.39388,94981.88391604232,-1.314163098971469,71.3768895104895,207231.81811895358,1
92,19.0,88859.18000000002,17909.980000000018,0.2108905967102364,188139.1607542416,-0.07208739032885436,15054.949999999993,1.1285692672801542,58837.758687197376,178753.06299454442,86091019262.03894,5.0,2.4921648678559016,558.3123926737284,27556.566488684864,-207076.35600476371,3.212902746230937,96213265202.86037,315720.5360618526,-1.4166702758497385,109.09625862068964,139675.09390737716,1
93,22.0,94132.42000000004,25658.260000000013,3.7379285070559822,189718.3905723974,3.5381960557410705,16455.62,1.8160978091148792,145553.76291400913,137013.35569029074,145299918508.37595,5.0,2.29671296939328,1041.1260773359188,162653.3175513179,-201159.1404328912,3.2341967139404826,434758055622.0381,47753.80993424081,-0.8688588422759306,64.27523705722072,190128.61050453398,1
94,26.0,82488.54000000001,25668.76,2.9030726968470817,322360.02378860593,0.7496133676858205,25341.519999999997,1.4333251435443637,208140.88068923427,130639.6648610542,987393280862.3354,6.0,1.9685056257154163,513.4208097362797,188680.56123551144,454056.3965147261,3.557627914576764,1092613412783.1042,64346.64303417298,0.1818210898842183,65.90059740259741,496212.7683220739,1
95,15.0,95419.48,20162.26,0.3348979876831586,66068.98964630942,0.05367122346402997,17274.019999999997,1.082274314284371,139897.60199973604,206974.74891794648,257374494731.22214,3.0,2.1584752141462187,716.1184655321229,81645.2641374347,380832.8862377829,4.201313551624967,237726096940.8016,26768.898917815586,-1.0534782466741557,50.077263464337705,128175.78345006455,1
96,21.0,94471.24000000002,27622.58000000001,0.5560876517658047,297055.98645595263,-0.6161020481953585,23303.01999999997,0.938099348587528,138680.2903517209,180472.17236546977,304275687829.3499,6.0,2.5100906023766947,695.2850079006412,41587.07235164676,347080.35579199065,3.760329697913817,339063379346.3253,52981.436645216214,-1.0563263641077378,54.24935163398693,283251.63059198856,1
